Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-1968,160 min,Mystery,7.1,54,Yakub Hasan Rizvi,Meena Kumari,Dharmendra,Rehman
-2019,120 min,Comedy,8.8,23,Sanjay Puran Singh Chauhan,Narottam Bain,Aamir Bashir,Pawan Malhotra
-1941,156 min,Drama,6,10,Mehboob Khan,Sheikh Mukhtar,Nalini Jaywant,Harish
-1967,167 min,"Comedy, Drama, Romance",6.5,69,M. Sadiq,Ashok Kumar,Pradeep Kumar,Meena Kumari
-1965,132 min,"Drama, Family",6.5,17,T. Prakash Rao,Ashok Kumar,Mala Sinha,Joy Mukherjee
-1985,147 min,Drama,6.3,16,Shashilal K. Nair,Vikas Anand,Bharat Bhushan,B.L. Chopra
-1964,133 min,Drama,6.8,42,T. Prakash Rao,Guru Dutt,Feroz Khan,Nasir Hussain
-1954,168 min,"Adventure, Drama, Fantasy",6.7,24,S.S. Vasan,Madhubala,Ratan Kumar,Agha
-2020,125 min,"Comedy, Crime, Drama",7.3,"3,036",Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal
-1952,165 min,"Drama, Musical, Romance",7.4,343,Vijay Bhatt,Meena Kumari,Bharat Bhushan,Surendra
-2021,72 min,Family,9.3,29,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur
-2013,110 min,"Comedy, Drama, Thriller",5.3,729,Shashant Shah,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey
-2015,158 min,"Action, Drama, History",7.2,"32,073",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas
-1976,176 min,Fantasy,7.7,85,Chandrakant,Dara Singh,Biswajit Chatterjee,Moushumi Chatterjee
-2015,163 min,"Action, Adventure, Comedy",8,"78,448",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui
-1996,163 min,"Action, Drama",2.7,113,Prakash Mehra,Bindu Shukla,Puru Rajkumar,Karisma Kapoor
-2009,74 min,Animation,6.5,46,Pankaj Sharma,,,
-2015,68 min,Animation,4.2,13,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
-2017,81 min,Animation,2.3,9,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
-2019,133 min,Comedy,7.3,"12,370",Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam
-1985,137 min,"Action, Thriller",5.6,54,S.A. Chandrashekhar,Bindu,Anuradha,Vijay Arora
-1971,137 min,Drama,6.8,16,Ravi Tandon,Manoj Kumar,Saira Banu,Dev Kumar
-1976,111 min,"Comedy, Drama, Romance",6.9,229,Tarun Majumdar,Sachin Pilgaonkar,Rajni Sharma,Asrani
-2012,117 min,Drama,8.1,24,Ajita Suchitra Veera,Ashwath Bhatt,Samiksha Bhatt,Tejaswi Bm
-2017,120 min,Comedy,7.5,17,Akhilesh Jaiswal,Anil Charanjeett,Abha Parmar,Ankita Shrivastav
-1968,176 min,Fantasy,5.6,8,Chandrakant,Dara Singh,Savitri,Jayshree Gadkar
-1992,142 min,"Action, Adventure",4.3,179,Deepak Anand,Sunil Shetty,Divya Bharti,Danny Denzongpa
-2014,136 min,Comedy,3.6,50,Sunil Agnihotri,Asrani,Gabriela Bertante,Mikhill Chandiramani
-1968,136 min,"Crime, Drama, Romance",6,13,Khwaja Ahmad Abbas,Surekha,Madhavi,David Abraham
-2020,102 min,Romance,7.2,"1,533",Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
-2006,122 min,"Musical, Drama",6.1,315,Pankaj Parashar,Urmila Matondkar,Ashmit Patel,Dimple Kapadia
-2009,128 min,Drama,3.2,24,Nemom Pushparaj,Harisree Asokan,Anoop Chandran,Devan
-1997,126 min,Comedy,4.2,231,David Dhawan,Govinda,Ramya Krishnan,Kader Khan
-1973,141 min,"Drama, Thriller",6.7,73,Shankar Mukherjee,Dev Anand,Rakhee Gulzar,Yogeeta Bali
-1962,145 min,Drama,6.1,21,Lekhraj Bhakri,Manoj Kumar,Vijaya Choudhury,I.S. Johar
-2010,139 min,"Comedy, Drama, Romance",7.2,"15,583",Maneesh Sharma,Ranveer Singh,Anushka Sharma,Ranjit Batra
-1990,145 min,"Action, Drama, Horror",5.1,298,Shyam Ramsay,Tulsi Ramsay,Hashmat Khan,Manjeet Kular
-1998,154 min,"Action, Drama, Romance",4.8,"1,852",K. Muralimohana Rao,Rajesh Malik,Jackie Shroff,Salman Khan
-1969,159 min,"Drama, Family, Musical",7.2,85,Narendra Bedi,Rajesh Khanna,Mumtaz,Anju Mahendru
-1983,124 min,"Drama, Family",7.1,36,Anil Sharma,Shashi Kapoor,Zeenat Aman,Rakhee Gulzar
-1973,139 min,"Action, Thriller",5.8,100,O.P. Goyle,Mumtaz,Amitabh Bachchan,Ajit
-1992,126 min,Family,7.9,7,Ugyen Chhopel,Abhishek,Danny Denzongpa,Gitanjali
-1957,135 min,"Drama, Family",6.2,27,Satyen Bose,Ashok Kumar,Shyama,Kishore Kumar
-1963,157 min,"Drama, Musical, Romance",7.7,756,Bimal Roy,Ashok Kumar,Nutan,Dharmendra
-1955,129 min,"Comedy, Drama, Musical",7.1,17,Satyen Bose,Ashok Kumar,Meena Kumari,Daisy Irani
-1980,152 min,"Action, Crime, Drama",6.1,47,K. Bapaiah,Rajesh Khanna,Hema Malini,Danny Denzongpa
-1994,119 min,"Biography, Crime, Drama",7.6,"4,518",Shekhar Kapur,Seema Biswas,Nirmal Pandey,Rajesh Vivek
-2013,132 min,"Crime, Thriller",5.9,140,Aditya Om,Manisha Kelkar,Arshad Khan,Ashish Kotwal
-2014,153 min,"Action, Adventure, Comedy",5.6,"22,436",Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pawan Malhotra
